Date,spread,zscore,long_signal,short_signal,exit_signal
2019-11-12,19.233113949776346,-1.5555335707747955,False,False,False
2019-11-13,19.610757979768096,-0.7318021773765823,False,False,False
2019-11-14,19.820914125763714,-0.29421933212455303,False,False,True
2019-11-15,19.742796613674628,-0.4341858271131506,False,False,True
2019-11-18,20.04127864888973,0.16213692148060163,False,False,True
2019-11-19,19.965781404299825,-0.003179830171792934,False,False,True
2019-11-20,20.31002291397681,0.6702521994349669,False,False,False
2019-11-21,20.00818859722905,0.037146498168847096,False,False,True
2019-11-22,20.038815502814934,0.059706774391863233,False,False,True
2019-11-25,20.28787712807869,0.5340409543658509,False,False,False
2019-11-26,20.507719692768433,0.9487413079317585,False,False,False
2019-11-27,20.506041674604177,0.8926099350775109,False,False,False
2019-11-29,19.9757288321628,-0.197751523916857,False,False,True
2019-12-02,20.313422840297434,0.6333325421509918,False,False,False
2019-12-03,20.46677283301173,1.0386520724363488,False,False,False
2019-12-04,20.503998699625193,1.0854702159704421,False,False,False
2019-12-05,20.64022939144101,1.4522704943841998,False,False,False
2019-12-06,20.619232095777747,1.4170237473293321,False,False,False
2019-12-09,20.318447730806653,0.6701907415751656,False,False,False
2019-12-10,20.237454471040067,0.45265549858488774,False,False,True
2019-12-11,20.213212656187302,0.3713292617264899,False,False,True
2019-12-12,20.383528643072964,0.7626765915171033,False,False,False
2019-12-13,20.47650855088566,1.0197477009432285,False,False,False
2019-12-16,20.693055136900668,1.4506545853384791,False,False,False
2019-12-17,20.91206111419463,1.7786953926140445,False,False,False
2019-12-18,20.45127690181142,0.708984769177673,False,False,False
2019-12-19,20.738239598950614,1.2682378843347857,False,False,False
2019-12-20,21.03143413999723,1.7834226139193732,False,False,False
2019-12-23,21.18797935272122,1.9646406513877124,False,False,False
2019-12-24,21.0248882329453,1.5604416460375574,False,False,False
2019-12-26,21.384103715386317,2.2794553438557337,False,True,False
2019-12-27,21.504940829157285,2.3226071391413052,False,True,False
2019-12-30,21.604576000855488,2.2708904572017032,False,True,False
